Feature,Importance
Feature 679,0.0002873215785209612
Feature 530,0.0002857995833653067
Feature 278,0.0002851906024068961
Feature 1673,0.00028404432175979156
Feature 1828,0.00028367008052171194
Feature 1008,0.0002835746991807218
Feature 757,0.0002834464841178071
Feature 918,0.00028287389988912155
Feature 759,0.0002823346495844046
Feature 175,0.0002822121720339275
Feature 470,0.0002820358672082314
Feature 1239,0.00028189623841465283
Feature 834,0.0002816481366848447
Feature 1031,0.00028084609938215297
Feature 1968,0.0002805904276548019
Feature 864,0.00028020366275606983
Feature 1075,0.0002799482333504943
Feature 288,0.0002786393036831412
Feature 915,0.00027855834988986576
Feature 1055,0.0002780883469458122
Feature 978,0.00027735596735889033
Feature 580,0.0002772171411002931
Feature 612,0.0002772118025620636
Feature 1201,0.0002769096345987417
Feature 1811,0.00027657494766743647
Feature 1679,0.0002764909199701442
Feature 1221,0.0002754814300374198
Feature 12,0.0002754373450140868
Feature 202,0.00027541741837871586
Feature 2027,0.00027521754560801555
Feature 801,0.00027355286674903836
Feature 39,0.0002735276638804121
Feature 388,0.0002732818400291131
Feature 500,0.00027265171286580794
Feature 700,0.0002720970382958577
Feature 625,0.00027148084178332213
Feature 1605,0.00027133009771185496
Feature 1784,0.00027132627793239277
Feature 106,0.0002705310876885525
Feature 602,0.0002703681723248484
Feature 1817,0.00027027406116076003
Feature 1969,0.0002701977085624243
Feature 1291,0.00026968773756167586
Feature 1634,0.00026957318673036164
Feature 1876,0.00026834498462996616
Feature 1992,0.0002676094282946433
Feature 570,0.00026740876758585773
Feature 1014,0.0002671886856133507
Feature 1178,0.00026621464195999273
Feature 1547,0.0002661922753083129
Feature 1417,0.00026597101783794774
Feature 811,0.00026482620602632113
Feature 301,0.00026475544672146877
Feature 953,0.00026446826059248733
Feature 198,0.00026413807650914084
Feature 1175,0.000263016230804453
Feature 1485,0.0002623792778412497
Feature 10,0.00026217614409430016
Feature 893,0.0002615193162868262
Feature 730,0.0002604079155265993
Feature 804,0.0002603358587679803
Feature 1261,0.00026027231609920766
Feature 1726,0.0002601659315035472
Feature 1419,0.00025982092019178384
Feature 1079,0.00025975046274177605
Feature 1186,0.0002592257362402488
Feature 1270,0.0002591658410562857
Feature 67,0.00025913118285224437
Feature 1503,0.0002582936911101657
Feature 481,0.0002582617702911751
Feature 1557,0.00025703695271745753
Feature 133,0.0002566362849250445
Feature 1128,0.000255241222021172
Feature 170,0.0002546941522591264
Feature 263,0.00025469316622198806
Feature 1080,0.0002543860627498906
Feature 1671,0.0002539849481117217
Feature 1692,0.00025392557858988434
Feature 837,0.00025335146526943156
Feature 1936,0.0002527613181518535
Feature 1731,0.00025245272374213443
Feature 857,0.00025230657371728716
Feature 1640,0.0002518303593408334
Feature 1220,0.00025155565442722214
Feature 1656,0.00025148674664597984
Feature 1857,0.0002510809455647962
Feature 1629,0.0002510604658604876
Feature 1520,0.0002505125943543134
Feature 69,0.0002495760080064632
Feature 1793,0.000249438686194165
Feature 1778,0.00024941405339248953
Feature 601,0.00024922564509141974
Feature 1755,0.00024869173404555616
Feature 1926,0.0002479016363237492
Feature 1386,0.0002477943746950841
Feature 1339,0.0002475119743672906
Feature 1867,0.0002468433099155356
Feature 1050,0.0002466081811596199
Feature 533,0.0002463255780648727
Feature 1954,0.00024466708729061284
Feature 408,0.0002441460823655099
Feature 937,0.00024410978307397863
Feature 347,0.00024354644710067135
Feature 1899,0.0002431985178758632
Feature 1678,0.00024221020325958597
Feature 1132,0.00024186191571333652
Feature 577,0.00024082862597707864
