molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units
CHEMBL137788,C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,IC50,335.0,nM
CHEMBL69709,Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,20000.0,nM
CHEMBL424093,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,IC50,25.0,nM
CHEMBL77030,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,IC50,2400.0,nM
CHEMBL77030,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,Ki,850.0,nM
CHEMBL78150,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,IC50,460000.0,nM
CHEMBL78150,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,Ki,155000.0,nM
CHEMBL69106,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,IC50,20000.0,nM
CHEMBL264382,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,IC50,1.1,nM
CHEMBL264382,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,IC50,200.0,nM
CHEMBL264382,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,IC50,1950.0,nM
CHEMBL308133,O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,IC50,1500000.0,nM
CHEMBL308133,O=C(O)C(=Cc1ccc(O)cc1)C(=O)O,Ki,,nM
CHEMBL307179,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,IC50,160000.0,nM
CHEMBL307179,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,Ki,55000.0,nM
CHEMBL305782,Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,IC50,180.0,nM
CHEMBL308672,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,IC50,450.0,nM
CHEMBL308672,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,IC50,500.0,nM
CHEMBL308672,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,IC50,,nM
CHEMBL133023,Cc1cccc(Nc2ncnc3ccc(/N=N/N(C)C)cc23)c1,IC50,24.0,nM
CHEMBL310400,N#CC(C#N)=Cc1cccc(O)c1,IC50,375000.0,nM
CHEMBL310400,N#CC(C#N)=Cc1cccc(O)c1,Ki,123000.0,nM
CHEMBL136674,COCC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,71.0,nM
CHEMBL73820,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,IC50,25000.0,nM
CHEMBL73820,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)O,Ki,70000.0,nM
CHEMBL79064,N#CC(C#N)=C(O)c1ccc(O)cc1,IC50,230000.0,nM
